,Title,Company,Location,Snippet,Job Url,Salary
821,newOPERATIONS MANAGER,Kings Group of Companies,Makati+1 location,"Shall oversee day to day operations of people (admin staff, sales agent) assigned in different locations.With very high problem solving skills.",https://ph.indeed.com/company/ZC-KINGS-MANPOWER-AND-JANITORIAL-SERVICES/jobs/Operation-Manager-226e760663ee60f8?fccid=e5f00a47d48ee91d&vjs=3,"PHP 50,000 - PHP 55,000 a month"
822,newCollections Agency Manager,Eastwest Bank,Mandaluyong,Ensures effective and efficient execution of collection strategies that are in compliance with BSP and other regulatory entities.Graduate of any 4-year course.,https://ph.indeed.com/rc/clk?jk=6a9cb2da84da6d61&fccid=9463b5ff29280929&vjs=3,None
823,Human Resource Manager (Remote),BatchService,Remote in Quezon City,"As a Human Resources Manager you are responsible for planning, directing, coordinating, and administering policies relating to all phases throughout the…",https://ph.indeed.com/rc/clk?jk=a3611a4c9b383fdd&fccid=6b7e3270f68d9ee6&vjs=3,None
824,newRestaurant Manager,Bornga Korean Restaurant,Makati,To follow company instructions and policy and maintain the good standard of quality of service and products;To be a good example to his/her subordinates;,https://ph.indeed.com/company/Bornga-Korean-Restaurant/jobs/Restaurant-Manager-ae7fa6ceeb3279dc?fccid=b13316596ca9feb2&vjs=3,"PHP 20,000 - PHP 35,000 a month"
825,Operations Manager,Vrio-Fintech,Remote in Manila,Vrio-Fintech *is a payment processing company focusing on cutting-edge technology to automate banking and digital wallet payments for clients across the Globe.,https://ph.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0CaE4UUR_EVQ77SkiASFVMKUx_i2X5txYnscV13_I0a8SHsBseSSIFi-o-Jf1ziFQQiIpkJJHJo8WrxKI5Wk0qtN0UmIOYJYiAlioDJrTEBlXal4lnQd-aqEw4aTbV1rSb-fZ6QWXc-FdT0eOl1nWnDKD6-innFr2JN29kbkJ8zdxpxegMz_g7k4cUB5NC39RvyB791JsrTRUluwiHNNJRsIZef8OcjrJs8qsLYEbTuvra854JJ9UbDT-2V6erHUPLkxDPQ4PnXCeCllvQ1ZFGyyxXNIK12MtLJZYe8kwkgitQ_Z9bW09acPHkGzAa9z8ei1-nzjH7JLNimc4tVZrTZgUofgAm-JFGBKvpz9JWMRCsbxO5PBmZCTCxuHJuJzWroH1wqZD6arvxV1rEuBpq8xD08IgEekwJlNZraN80YVhydpZuSEr_ViSXOFs4wyK8KNW_P3Z1ApwGaccI1ut_7J9_ct0BlM0k=&p=0&fvj=1&vjs=3,"PHP 50,000 - PHP 60,000 a month"
826,newWarehouse and Logistics Manager,C&L Decor,Quezon City,"Overall in charge of warehouse and logistics team.Responsible for timely and correct delivery, set up and pull out of rental items.",https://ph.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0DDqS8H06XiaTtf1G2AYbRf-cCYmmJwCwxas9fpgnlOsIbHVonB7kF8naSN_YaKIg2lFYCivAmp-nFfa2kcajIqEZlQt-xFpwnEtUyN4ItYzWLo2lNWSDlSWctvpWyY3Z_0Eg1FFXTYVeg6788TnmJFSBVHZS2hQ1Cnk_ECfjDCPpfgnF_EQi3tdEKGH6x4FhWJkPMALyZ7K63IeHPHeE1xc7Xr3hpp-CmOQYNODmtjnMdcpcjkNlwA4NGq1_nVrRtJ3Bf4c2s7aRdmsRyTWs5_xn4FiwrQA0pvgVqPlMhUNVTi7kC9faZTR9QMXxFblxy9pD92LgU-ZbXxr4n1n8I4cRClDq2_ofdh53-ciouDwmIqi7hmCbZ9NTm8jVGQLYX6J8UAA0YxPr2cSGZLHkQgh8yvG7SzQU_O9nd8DoAzZKc7pXRTE1ly8H3pDR40e432Qp2I723yQ992K-LpoWxbnUxlMb7pkYk=&p=1&fvj=1&vjs=3,"PHP 30,000 - PHP 50,000 a month"
827,newOperations Manager,Making Fine Beverages Corporation - TIGER SUGAR PH,Quezon City,"Responsible for the operations of the company by providing operational leadership, with a goal of achieving 100% customer satisfaction while ensuring…",https://ph.indeed.com/company/Gastroprime-Holdings-(Tiger-Sugar--PH)/jobs/Operation-Manager-cad63fb69680415e?fccid=d7a8729ef11ca065&vjs=3,"PHP 45,000 - PHP 50,000 a month"
828,Area Manager (Food and Beverages),Making Fine Beverages Corporation - TIGER SUGAR PH,Manila,Oversee and direct operations at several locations within your assigned area.Ensure all handled stores are compliant with company guidelines and protocols.,https://ph.indeed.com/company/Gastroprime-Holdings-(Tiger-Sugar--PH)/jobs/Area-Manager-faa1d09beb30176c?fccid=d7a8729ef11ca065&vjs=3,"PHP 24,000 - PHP 28,000 a month"
829,Restaurant Manager,Landers Central,Alabang+1 location,"Monitors and analyzes sales and performance report.Responsible in achieving target sales and profitability of the restaurant.Job Types: Full-time, Permanent.",https://ph.indeed.com/company/Seafood-City/jobs/Restaurant-Manager-bc94ba58f93361c1?fccid=0780ae8b7adf26f3&vjs=3,"PHP 30,000 - PHP 35,000 a month"
830,Assistant Restaurant Manager,Popeyes Philippines,Quezon City,The Assistant Restaurant Manager assist in all managing aspects of a restaurant's operation in order to ensure that Popeyes Louisiana Kitchen Philippines Inc.…,https://ph.indeed.com/company/Popeyes-Philippines/jobs/Assistant-Restaurant-Manager-c90487cd156512a8?fccid=4da358b339819494&vjs=3,"PHP 25,000 - PHP 28,000 a month"
831,newOPERATIONS MANAGER (Food & Bev Industry),Career Purveyors Co.,Alabang,"Day-to-day management of the restaurant operations, including administrative oversight of the brewery, commissary and logistic operations.",https://ph.indeed.com/company/Career-Purveyors-Co./jobs/Operation-Manager-6dba3f4425581e90?fccid=b7032157fd4e9a05&vjs=3,"PHP 25,000 - PHP 35,000 a month"
832,newStore Manager,Adidas,Manila,Drives store profitability by meeting or exceeding sales targets and controlling operational expenses; managing all resources within the store to provide…,https://ph.indeed.com/rc/clk?jk=6a8c98ab3be01213&fccid=8686937f641f561b&vjs=3,None
833,newSHIFT MANAGER (KENNY ROGERS ROASTERS MATALINO QUEZON CITY),Kenny Rogers Roasters,Quezon City+3 locations,"Ensure that proper shift endorsement is accomplished at all times for each incoming shift manager Implements the following shift activities/reports, depending…",https://ph.indeed.com/company/Kenny-Rogers-Roasters/jobs/Shift-Manager-4b2d1dec64f345ef?fccid=cf58b7f49cb347ad&vjs=3,"PHP 17,000 - PHP 18,000 a month"
834,newRestaurant Manager,Bornga Korean Restaurant,Makati,To follow company instructions and policy and maintain the good standard of quality of service and products;To be a good example to his/her subordinates;,https://ph.indeed.com/company/Bornga-Korean-Restaurant/jobs/Restaurant-Manager-ae7fa6ceeb3279dc?fccid=b13316596ca9feb2&vjs=3,"PHP 20,000 - PHP 35,000 a month"
835,newTeam Lead - CSNA,PayPal,Muntinlupa,The Team Leader drives world-class customer experience results through high impact coaching and development of their teammates.,https://ph.indeed.com/rc/clk?jk=67fbf02dc4180ee2&fccid=978d9fd9799d55a8&vjs=3,None
836,newASST. LOBBY MANAGER,The Landmark Makati,Makati,Experience in retail management and extensive knowledge and exposure in Supermarket operations particularly in frontend is an advantage.,https://ph.indeed.com/company/The-Landmark-Makati/jobs/Assistant-Lobby-Manager-c203a0629be6512f?fccid=dd862f1440ed7354&vjs=3,"PHP 30,000 - PHP 40,000 a month"
837,newFood and Beverage Manager,Golden Pyramid Management Solutions Inc.,Makati,"Hire, train and manage, supervise, develop, discipline and counsel all food and beverage management team members according to company policies and procedures.","https://ph.indeed.com/company/GOLDEN-PYRAMID-SKILLS-DEVELOPMENT-AND-MANPOWER-RESOURCES,-INC./jobs/Food-Beverage-Manager-e3252ef49e92eb10?fccid=7d4f76893d11c2e1&vjs=3","PHP 25,000 - PHP 50,000 a month"
838,Customer Experience Manager (Permanent WFH),Penbrothers International Inc.,Remote in Makati,Contribute in developing and improving our overall customer experience.Define and put in place better processes to improve the customer journey experience.,https://ph.indeed.com/company/Penbrothers-International-Inc./jobs/Customer-Experience-Manager-15382ac3c647d6c1?fccid=f073b02fe5aaf1d9&vjs=3,"PHP 40,000 a month"
