,Title,Company,Location,Salary,Job Url,Snippet,Seniority,Average
650,HIRING GRAPHIC DESIGNER,BVZ Asia Inc.,Taguig,"PHP 30,000 - PHP 40,000 a month",https://ph.indeed.com/company/BVZ-Asia-Inc./jobs/Graphic-Designer-b6ca568e3204dec3?fccid=09a27fec0ea4c85c&vjs=3,There is an advantage if you’ve completed studies in art or graphic design (or related field) and ideally a minimum of three plus years of experience within…,senior_level,35000.0
675,Home-Based Graphic Designer,BZNZ Corp.,Remote,"PHP 18,000 - PHP 22,000 a month",https://ph.indeed.com/company/BZNZ-Corp./jobs/Home-Based-Graphic-Designer-d3afa00207b76a44?fccid=604519482b3172c1&vjs=3,,middle_level,20000.0
190,Operations Manager,Bassbest Automation Surveillance & Security...,Quezon City,"PHP 35,000 - PHP 40,000 a month",https://ph.indeed.com/company/BASSBest-Automation-Surveillance-and-Security-Products/jobs/Operation-Manager-0a7a3571f856683a?fccid=d3699a0b8eb9fcee&vjs=3,"Ü Improve the operational systems, processes and policies in support of organizations mission -- specifically, support better management reporting, information…",middle_level,37500.0
830,Software Developer,Bastion Payment Systems,Remote,"PHP 18,000 - PHP 40,000 a month",https://ph.indeed.com/company/Bastion-Payment-Systems/jobs/Software-Developer-b674a1371b23da6b?fccid=a626e8e38a80804e&vjs=3,Actively participates in all aspects of software development process.,middle_level,29000.0
809,Junior Software Developer,BlastAsia Inc.,Remote,"PHP 28,000 - PHP 62,000 a month",https://ph.indeed.com/company/Blastasia-Inc./jobs/Junior-Software-Developer-2b38d18b294012b5?fccid=3a1e704114c68d6f&vjs=3,Will be responsible for the design and development of web-based and mobile applications according to the project requirements of the client/ product owner.,junior_level,45000.0
79,STORE MANAGER,Bo's Coffee,Mandaluyong,"PHP 30,000 - PHP 40,000 a month",https://ph.indeed.com/company/WS-&-Landin/jobs/Store-Manager-5f048a6c8d0f1790?fccid=a030c4e3fcc998ce&vjs=3,"Store Manager is responsible for overseeing all the day-to-day operations of the store, leading to the attainment and exceeding of sales targets.",senior_level,35000.0
279,Lead Generation Specialist,Boldr,Remote,"PHP 65,255 - PHP 74,941 a month",https://ph.indeed.com/company/Boldr-Inc/jobs/Lead-Generation-Specialist-8f9edbabb48a64d9?fccid=9f5d6a5eab56eb3c&vjs=3,The Data Enhancement Specialist manages and enriches database activities to support business development projects.,senior_level,70098.0
164,Client Success Associate Manager,Bolton International,Taguig,"PHP 55,000 - PHP 70,000 a month",https://ph.indeed.com/company/Bolton-International-Inc./jobs/Client-Success-Associate-Manager-b53f86926b298c42?fccid=dc520d608b783343&vjs=3,"We are looking for a super talented, customer obsessed go-getter to act as the bridge between many internal functions (such as RevOps, Account Management, Sales…",junior_level,62500.0
864,Associate Software Engineer,Bonfire Technologies and Solutions Corp.,Remote,"PHP 22,000 - PHP 35,000 a month",https://ph.indeed.com/company/BTSC/jobs/Associate-Software-Engineer-9a5914ad7422bd85?fccid=084cde8d1ba7eef3&vjs=3,Proven software development experience in PHP.,middle_level,28500.0
854,Software Developer,Bonfire Technologies and Solutions Corp.,Remote,"PHP 22,000 - PHP 30,000 a month",https://ph.indeed.com/company/BTSC/jobs/Software-Developer-190c631daa46e680?fccid=084cde8d1ba7eef3&vjs=3,"❏ Candidate must possess at least a Bachelor’s/College Degree, Computer Science/Information Technology, Engineering or equivalent.",middle_level,26000.0
59,Area Sales Manager,"Boosterfoods, Inc.",Pasig,"PHP 35,000 - PHP 60,000 a month","https://ph.indeed.com/company/Boosterfoods,-Inc./jobs/Area-Sales-Manager-ab9f3b2851278a04?fccid=cdd8d4979983aaae&vjs=3","He/She is responsible for the operational activities of the sales group, development and implementation of sales campaign, monitoring performance of group, and…",middle_level,47500.0
481,Data Engineer,Booth & Partners,Remote,"PHP 60,000 - PHP 100,000 a month",https://ph.indeed.com/company/Booth-&-Partners/jobs/Data-Engineer-83947b5d4a92d2bc?fccid=16169d03fd5e9971&vjs=3,"*Explore available **data sources**, support the design of and manage the ingestion and modelling of data to a data warehouse*.",middle_level,80000.0
115,Operations Manager - Nonprofit Organization,Booth and Partners,Remote,"PHP 50,000 - PHP 70,000 a month",https://ph.indeed.com/company/Booth-and-Partners/jobs/Operation-Manager-4634c6f6ede74a6f?fccid=9bb793be595ef72c&vjs=3,The role is mainly responsible for *overseeing the creation and publication of new content for the* *Tayo platform*.,middle_level,60000.0
17,Restaurant Manager,Bornga Korean Restaurant,Makati,"PHP 20,000 - PHP 35,000 a month",https://ph.indeed.com/company/Bornga-Korean-Restaurant/jobs/Restaurant-Manager-ae7fa6ceeb3279dc?fccid=b13316596ca9feb2&vjs=3,To follow company instructions and policy and maintain the good standard of quality of service and products;,middle_level,27500.0
669,Graphic Designer,Brave Egg,Remote,"PHP 18,000 - PHP 20,000 a month",https://ph.indeed.com/company/Brave-Egg/jobs/Graphic-Designer-0a9eebca853a4878?fccid=9b53867b5d69bfd7&vjs=3,,middle_level,19000.0
49,Logistics Manager,Brother International Philippines Corporation,Remote,"PHP 90,000 - PHP 100,000 a month",https://ph.indeed.com/company/Brother-Industries/jobs/Logistic-Manager-acf428e7c1408393?fccid=25af32e0dd1d04e7&vjs=3,"Her/his responsibilities include, but not limited to, importation, inventory and vendor management.",middle_level,95000.0
